trial	oldnew	fixation	x	y	duration	aoi	imnumber	image
3	1	1	496.7	380.6	253	28	3	testcity05.jpg
3	1	2	443.4	564.3	218	31	3	testcity05.jpg
3	1	3	258.4	622.2	233	24	3	testcity05.jpg
3	1	4	209.9	620.1	236	16	3	testcity05.jpg
3	1	5	287.1	681.1	346	22	3	testcity05.jpg
3	1	6	205.7	611	454	16	3	testcity05.jpg
3	1	7	242.6	477.5	300	13	3	testcity05.jpg
3	1	8	404.8	395	346	29	3	testcity05.jpg
3	1	9	431.9	336.4	352	28	3	testcity05.jpg
3	1	10	931.9	344.5	430	60	3	testcity05.jpg
3	1	11	915.4	246.7	290	59	3	testcity05.jpg
3	1	12	807.4	676.4	240	54	3	testcity05.jpg
3	1	13	697.2	678.7	390	46	3	testcity05.jpg
3	1	14	369.7	705.7	686	22	3	testcity05.jpg
3	1	15	304.2	460.1	337	21	3	testcity05.jpg
3	1	16	176.9	477.4	372	13	3	testcity05.jpg
3	1	17	129.6	582.6	44	16	3	testcity05.jpg
3	1	18	146	618	407	16	3	testcity05.jpg
3	1	19	407	498	264	31	3	testcity05.jpg
3	1	20	467.6	336.2	202	28	3	testcity05.jpg
3	1	21	551.5	276.4	203	35	3	testcity05.jpg
3	1	22	788.9	210.1	219	51	3	testcity05.jpg
3	1	23	922.9	145.7	277	58	3	testcity05.jpg
3	1	24	965.8	107.2	483	58	3	testcity05.jpg
3	1	25	515.4	498.8	159	39	3	testcity05.jpg
3	1	26	318.7	589.4	554	24	3	testcity05.jpg
3	1	27	637.2	698.9	235	38	3	testcity05.jpg
4	1	1	496.6	371.1	304	28	6	testcity06.jpg
4	1	2	364.8	408.1	203	21	6	testcity06.jpg
4	1	3	349.5	327.1	203	20	6	testcity06.jpg
4	1	4	91.1	355.9	175	4	6	testcity06.jpg
4	1	5	50.2	371.3	165	4	6	testcity06.jpg
4	1	6	911.8	369.3	993	60	6	testcity06.jpg
4	1	7	941.3	358.6	1598	60	6	testcity06.jpg
4	1	8	814.4	358.6	269	52	6	testcity06.jpg
4	1	9	496.3	323.9	568	28	6	testcity06.jpg
4	1	10	438.6	386.1	170	29	6	testcity06.jpg
4	1	11	231	462.9	319	13	6	testcity06.jpg
